state;value
5 16386 ;-1.2800000000000002
5 2 ;-1.01248
129 268435458 ;1.5744000000000002
2097281 268435714 ;1.2000000000000002
2113665 268435714 ;1.0
2097281 268435458 ;-1.024
16513 4398314946562 ;1.44
2113665 4398314946562 ;1.0
2097408 129 ;-1.5648000000000002
2097410 129 ;-1.0
2097408 128 ;1.056
1 128 ;1.9822138519134176
34361835521 130 ;-1.072
34361835521 4398046511234 ;1.0
2097153 130 ;1.88943625027584
2097153 128 ;1.9737694746311005
4398046511105 2097280 ;1.168896
4398851817473 8796095135872 ;-1.2000000000000002
4398851850241 8796095135872 ;-1.0
4398851817473 2113664 ;-1.2800000000000002
4398314946561 2113664 ;-1.5943680000000002
4398314946561 2097280 ;-1.3248000000000002
4398046527489 2097282 ;-0.9396224
13194139549953 270533250 ;1.2000000000000002
13194139582721 270533250 ;1.0
13194139549953 270532738 ;1.2800000000000002
13194139549697 270532738 ;1.3120000000000003
13194139549697 2097282 ;1.3248000000000002
4398046560257 6291586 ;1.3299200000000002
4398055014401 34366030210 ;1.2000000000000002
4398055145473 34366030210 ;1.0
4398055014401 34366029954 ;1.2800000000000002
4398054948865 34366029954 ;1.3120000000000003
4398054948865 6291586 ;1.3248000000000002
4398046625793 6422658 ;1.3299200000000002
4398055014657 6684806 ;1.2000000000000002
4398071791873 6684806 ;1.0
4398055014657 6684802 ;1.2800000000000002
4398055014401 6684802 ;1.3120000000000003
4398055014401 6422658 ;1.3248000000000002
4398055014401 6422914 ;1.3120000000000003
4398055014913 6423938 ;1.2000000000000002
4398055014917 6423938 ;1.0
4398055014913 6422914 ;1.2800000000000002
4398055014405 6423426 ;-1.2800000000000002
4398055276549 6423426 ;-1.2000000000000002
4398055276549 6424450 ;-1.0
4398055015429 23200642 ;-1.2800000000000002
13194148037637 23200642 ;-1.2000000000000002
13194148037637 56755074 ;-1.0
4398088569861 34382939010 ;1.3120000000000003
4398088832005 34383463298 ;1.2000000000000002
4398155940869 34383463298 ;1.0
4398088832005 34382939010 ;1.2800000000000002
4398155678725 34383201154 ;1.3248000000000002
4398424114189 34383203202 ;1.2000000000000002
4398424114189 34383207298 ;1.0
4398155678733 34383203202 ;1.2800000000000002
4398155678733 34383201154 ;1.3120000000000003
4398155680773 34651636610 ;1.3299200000000002
4399766293509 103371113354 ;1.2000000000000002
4537205246981 103371113354 ;1.0
4399766293509 34651636618 ;1.2800000000000002
4398692551685 34651636618 ;1.3120000000000003
4398692551685 34651636610 ;1.3248000000000002
4466875157509 34651640706 ;1.3120000000000003
4604314110981 35188511618 ;1.2000000000000002
4605387852805 35188511618 ;1.0
4604314110981 34651640706 ;1.2800000000000002
384 270532608 ;1.908066195139671
385 270532608 ;1.8731793090066513
384 268435456 ;1.65504
128 268435456 ;1.8553346127671457
270532609 4398046511106 ;-1.2000000000000002
270532609 4398046527490 ;1.112
2097153 4398046511106 ;1.8639763554303999
16385 2097154 ;1.7472389120000003
21990232571905 8796095119362 ;-1.2000000000000002
21990232571905 8796095119366 ;-1.0
4398046527489 8796095119362 ;-1.2800000000000002
4398046527489 2097154 ;1.06752
16389 6291458 ;-1.3248000000000002
25182213 6291586 ;-1.2000000000000002
25182213 4398052802690 ;-1.0
8404997 6291586 ;-1.2800000000000002
8404997 6291458 ;-1.3120000000000003
4398046527493 6291586 ;-1.3248000000000002
4432414654469 23068802 ;-1.2000000000000002
4432414654469 56623234 ;-1.0
4398054916101 23068802 ;-1.2800000000000002
4398054916101 6291586 ;-1.3120000000000003
4398054916101 6291842 ;-1.2800000000000002
4398054916613 6291842 ;-1.2000000000000002
4398054916613 6324610 ;-1.0
4398054948869 6292354 ;-1.2800000000000002
4398054948877 6292354 ;-1.2000000000000002
4398054948877 6293378 ;-1.0
4398054949893 6357890 ;1.3120000000000003
13194147972101 17592192402306 ;1.2000000000000002
48378520060933 17592192402306 ;1.0
13194147972101 6357890 ;1.2800000000000002
13194147972101 23135106 ;1.3248000000000002
13194148365317 56689538 ;1.2000000000000002
13194148365317 17592242733954 ;1.0
13194148103173 56689538 ;1.2800000000000002
13194148103173 23135106 ;1.3120000000000003
30786334016517 35184395223938 ;1.3299200000000002
30786401256453 35184428778378 ;1.2000000000000002
30786401518597 35184428778378 ;1.0
30786401256453 35184428778370 ;1.2800000000000002
30786334147589 35184428778370 ;1.3120000000000003
30786334147589 35184395223938 ;1.3248000000000002
30786334147589 35184395225986 ;1.3120000000000003
30786334409733 35184428780418 ;1.2000000000000002
30786401518597 35184428780418 ;1.0
30786334409733 35184395225986 ;1.2800000000000002
30786367702021 35184395488130 ;1.3299200000000002
30820727964677 35184663927682 ;1.2000000000000002
30821264835589 35184663927682 ;1.0
30820727964677 35184395492226 ;1.2800000000000002
30786368226309 35184395492226 ;1.3120000000000003
30786368226309 35184395488130 ;1.3248000000000002
30786636137477 35184395492226 ;-1.2800000000000002
30787173008389 35184395492226 ;-1.2000000000000002
30787173008389 35185469234050 ;-1.0
268451840 1 ;1.9358071059555322
268451840 536870913 ;-1.0
268435456 34359738368 ;1.9488234303651841
69524783104 4433479991296 ;1.2000000000000002
69524783232 4433479991296 ;1.0
69524783104 4432406249472 ;1.2800000000000002
68987912192 4432406249472 ;1.4624000000000001
68987912192 34359738368 ;1.677952
268435584 34359738369 ;1.682944
270532736 34359738371 ;0.64
270549120 34359738371 ;1.0
270532736 34359738369 ;-1.5339520000000002
268451968 34361835521 ;1.3299200000000002
272679040 4432408346881 ;1.2000000000000002
272679042 4432408346881 ;1.0
272679040 4432408346625 ;1.2800000000000002
272646272 4432408346625 ;1.3120000000000003
272646272 34361835521 ;1.3248000000000002
268451970 34361835525 ;1.06752
272646274 34361868293 ;-1.2000000000000002
4398319157378 34361868293 ;-1.0
272646274 34361835525 ;-1.2800000000000002
4398314963074 34366029829 ;1.3248000000000002
4398860222594 34366030085 ;1.2000000000000002
4398860222594 34366030093 ;1.0
4398851833986 34366030085 ;1.2800000000000002
4398851833986 34366029829 ;1.3120000000000003
4398314963082 34374418437 ;-1.2800000000000002
4398851833994 34374418437 ;-1.2000000000000002
4398851833994 34391195653 ;-1.0
4398331740298 34374418693 ;1.3299200000000002
4399942353034 34374451477 ;1.2000000000000002
4402089836682 34374451477 ;1.0
4399942353034 34374451461 ;1.2800000000000002
4398868611210 34374451461 ;1.3120000000000003
4398868611210 34374418693 ;1.3248000000000002
4398868611210 34374419205 ;-1.2800000000000002
4398868643978 34374419205 ;-1.2000000000000002
4398868643978 34374484741 ;-1.0
6291456 16384 ;1.9129826792421347
6291456 16512 ;1.7578370048
2097152 16384 ;1.9572331114550243
2113664 34359739136 ;1.2000000000000002
2113665 34359739136 ;1.0
2113664 34359738624 ;-1.024
2097280 34359738624 ;-0.9472
129 258 ;1.78568704
2097281 262 ;1.2000000000000002
2113665 262 ;1.0
2097281 258 ;1.0752000000000002
16513 2097410 ;1.86768384
114817 274727170 ;1.2000000000000002
245889 274727170 ;1.0
114817 6291714 ;1.5872000000000002
49281 6291714 ;1.780736
49281 2097410 ;1.8034688
49281 270532866 ;1.6768
114817 4398317043970 ;1.2000000000000002
245889 4398317043970 ;1.0
114817 270532866 ;1.536
114817 270663938 ;-1.3120000000000003
4309121 4398317175042 ;-1.2000000000000002
4571265 4398317175042 ;-1.0
4309121 270663938 ;-1.2800000000000002
376961 4398317175042 ;-1.2800000000000002
377473 4398317175042 ;-1.2000000000000002
377473 4432676913410 ;-1.0
34360115329 4398854045954 ;1.3299200000000002
37581340801 4467573522694 ;1.2000000000000002
37581340809 4467573522694 ;1.0
37581340801 4398854045958 ;1.2800000000000002
35433857153 4398854045958 ;1.3120000000000003
35433857153 4398854045954 ;1.3248000000000002
34360115333 4398854046466 ;-1.3120000000000003
34360639621 4398854047490 ;-1.2000000000000002
34360639629 4398854047490 ;-1.0
34360639621 4398854046466 ;-1.2800000000000002
34360115341 4398854046482 ;1.3299200000000002
37581340813 4398858240818 ;1.2000000000000002
37589729421 4398858240818 ;1.0
37581340813 4398854046514 ;1.2800000000000002
35433857165 4398854046514 ;1.3120000000000003
35433857165 4398854046482 ;1.3248000000000002
34364309645 4398854047506 ;-1.2800000000000002
35438051469 4398854047506 ;-1.2000000000000002
35438051469 4398854049554 ;-1.0
34364311693 4398862436114 ;-1.3248000000000002
35454830733 4398862960402 ;-1.2000000000000002
35454830733 4398896514834 ;-1.0
35438053517 4398862960402 ;-1.2800000000000002
35438053517 4398862436114 ;-1.3120000000000003
49152 34359738368 ;1.1168
49152 4432406249472 ;1.5299200000000002
4398046511488 8830452760577 ;1.2000000000000002
4398046527872 8830452760577 ;1.0
4398046511488 34359738369 ;1.2800000000000002
4398046511232 34359738369 ;1.3120000000000003
4398046511232 1 ;-1.0318080000000003
4398046527488 2097153 ;1.058816
13194139582464 270532737 ;-1.2000000000000002
13194139582466 270532737 ;-1.0
13194139582464 270532609 ;-1.2800000000000002
4398046560256 270532609 ;-1.3120000000000003
4398046560256 2097153 ;-1.3248000000000002
4398046527490 8796095119361 ;1.3299200000000002
4398050754562 8830454857857 ;1.2000000000000002
4398050754818 8830454857857 ;1.0
4398050754562 8830454857729 ;1.2800000000000002
4398046560258 8830454857729 ;1.3120000000000003
4398046560258 8796095119361 ;1.3248000000000002
4398046527618 8796095152129 ;1.3248000000000002
4432406331522 8796095152133 ;1.2000000000000002
4432406331522 8796095152141 ;1.0
4398046593154 8796095152133 ;1.2800000000000002
4398046593154 8796095152129 ;1.3120000000000003
4398046527622 8796095152385 ;1.3299200000000002
4398046593166 8796095283969 ;1.2000000000000002
4398046593182 8796095283969 ;1.0
4398046593166 8796095283457 ;1.2800000000000002
4398046593158 8796095283457 ;1.3120000000000003
4398046593158 8796095152385 ;1.3248000000000002
4398046527630 8796095152401 ;1.3299200000000002
4398050787470 8830723326225 ;1.2000000000000002
4398050787502 8830723326225 ;1.0
4398050787470 8796363587857 ;1.2800000000000002
4398050721934 8796363587857 ;1.3120000000000003
4398050721934 8796095152401 ;1.3248000000000002
4398046527662 8796363587857 ;1.3319680000000003
4398050788526 26388549632785 ;1.2000000000000002
4398050788526 26388549634833 ;1.0
4398050787502 26388549632785 ;1.2800000000000002
4398050787502 26388549632273 ;1.3120000000000003
4398050721966 26388549632273 ;1.3248000000000002
4398050721966 8796363587857 ;1.3299200000000002
4398046528174 8796367782161 ;-1.2800000000000002
4398054916782 8796367782161 ;-1.2000000000000002
4398054916782 8796904653073 ;-1.0
4398583399086 8796367847697 ;-1.2800000000000002
4399657140910 8796367847697 ;-1.2000000000000002
4399657140910 8796367848721 ;-1.0
4398583400110 8796376236305 ;-1.2800000000000002
4398583531182 8796376236305 ;-1.2000000000000002
4398583531182 8796393013521 ;-1.0
4398600177326 8796376367377 ;-1.2800000000000002
21990786221742 8796376367377 ;-1.2000000000000002
21990786221742 8796376629521 ;-1.0
4398600439470 8796409921809 ;1.2000000000000002
4398667548334 8796409921809 ;1.0
34359738368 1 ;1.9008204979605647
34630270976 131 ;1.5
34630287360 131 ;1.0
34630270976 3 ;-0.8478158440366084
34361835520 3 ;1.83645184
34361835520 1 ;1.999555453154486
34359754752 32769 ;1.533056
34628190208 68719509505 ;1.2000000000000002
34630287360 68719509505 ;1.0
34628190208 32769 ;1.536
34361851904 268468225 ;-1.5779840000000003
34362048512 68987945089 ;-1.2000000000000002
34362048514 68987945089 ;-1.0
34362048512 68987944961 ;-1.2800000000000002
34361917440 68987944961 ;-1.3120000000000003
34361917440 268468225 ;-1.3248000000000002
34361851906 268468353 ;-1.3299200000000002
103618199554 4398314979713 ;-1.2000000000000002
103618199558 4398314979713 ;-1.0
103618199554 4398314979457 ;-1.2800000000000002
103081328642 4398314979457 ;-1.3120000000000003
103081328642 268468353 ;-1.3248000000000002
34361851910 805339265 ;1.3120000000000003
34361851918 805339521 ;1.2000000000000002
34361851934 805339521 ;1.0
34361851918 805339265 ;1.2800000000000002
34361851918 805339281 ;-1.3248000000000002
34361917966 805339537 ;-1.2000000000000002
34361917966 809533841 ;-1.0
34361917454 805339537 ;-1.2800000000000002
34361917454 805339281 ;-1.3120000000000003
34366046222 1879081105 ;-1.2800000000000002
34374434830 1879081105 ;-1.2000000000000002
34374434830 4026564753 ;-1.0
36513529870 1879081361 ;1.3120000000000003
36521918478 4399925592465 ;1.2000000000000002
36538695694 4399925592465 ;1.0
36521918478 1879081361 ;1.2800000000000002
36521918478 1895858577 ;1.3120000000000003
36521984014 1895858609 ;1.2000000000000002
36521984526 1895858609 ;1.0
36521984014 1895858577 ;1.2800000000000002
6291456 34359738368 ;-1.4944000000000002
6291456 34359738496 ;1.77824
2113664 1792 ;1.44
2113665 1792 ;1.0
2113664 768 ;1.71264
