state;mask;score;visit count
4398048608256;4398052802560;15;22
8796095119360;13194141630464;9;17
270532608;4398317043712;10;18
2097280;6291584;5;12
34359754752;34361852032;0;2
3;270532611;0;3
4432406249472;4432408346625;0;2
34359738496;34361835648;8;32
4432406249472;4432408346624;29;72
268468224;268484608;3;9
4432406249472;4432676782080;3;5
13194139533312;13194141630464;10;19
4398046511105;4501125726209;140;280
129;34359738497;5;11
16385;49153;5;10
4194305;6291457;4;11
268435584;270532736;6;14
268435457;805306369;6;13
4398048608256;4398321238016;0;1
68719476737;103079215233;6;16
536870913;1879048193;1;2
536887296;4398851833856;2;3
536871040;807403648;1;2
4398583382016;4398851833856;1;2
536871040;805306497;0;2
268451840;34628190208;4;10
68987912192;103347650560;5;11
268435457;268435585;3;9
4398046511232;4398046511233;11;20
16512;16513;12;21
34359738369;34359738753;1;3
4466765987840;4501125726208;0;1
2113536;2113665;2;4
34628173824;34628190208;42;89
268435458;268435459;6;14
4398314946560;4432674684928;6;12
805306368;35165044736;10;17
268435584;4398314946688;3;10
268451840;4398314962944;3;9
805306368;4398851817472;6;12
34361835520;35167141888;0;1
4398046527488;4432406265857;258;486
4398046527488;4398046527489;6;14
49152;4398046560256;0;5
34359738369;34628173953;1;3
538968064;807403520;12;22
6291456;6307840;2;8
2097153;6291457;2;8
536871040;805306496;17;27
2097153;2097155;3;7
129;131;2;6
34359738624;34359738752;45;95
2097280;270549120;0;2
34359754752;34359754880;110;198
268435584;268435840;3;8
6291456;274726912;11;21
34628173824;34630287360;1;3
272629760;811597824;1;2
8796629893120;13194944839680;2;3
3;2113539;1;3
16512;34359754880;10;17
8796093038592;13194407985152;1;3
8796361457664;13194407968768;1;7
384;34359738752;1;7
4398046511106;4398048608259;0;1
171798691840;240786604032;0;1
3;16387;16;23
4398048608256;4432676782080;21;53
2113536;34361851905;15;28
268451840;274743296;0;2
384;2097536;11;20
4194432;6291584;4;11
4398046527488;4398046527616;3;9
4398314946560;13194407968768;1;5
3;4398314946563;2;3
16512;34628190336;12;23
